ABS1,1,2,3,4,5,6,7,8,9,10,11,12
A,,,,,,,,,,,,
B,,,,,,,,,,,,
C,,,,,,,,,,,,
D,,,,,,,,,,,,
E,,,,,,,,,,,,
F,,,,,,,,,,,,
G,,,,,,,,,,,,
H,,,,,,,,,,,,
,,,,,,,,,,,,
ABS2,1,2,3,4,5,6,7,8,9,10,11,12
A,,,,,,,,,,,,
B,,,,,,,,,,,,
C,,,,,,,,,,,,
D,,,,,,,,,,,,
E,,,,,,,,,,,,
F,,,,,,,,,,,,
G,,,,,,,,,,,,
H,,,,,,,,,,,,
,,,,,,,,,,,,
IDs,1,2,3,4,5,6,7,8,9,10,11,12
A,Fe_2_60 uM,Fe_2_60 uM,Fe_2_60 uM,FW_C6_FE_20240805,FW_C6_FE_20240805,FW_C6_FE_20240805,SW_D5_FE_20240805,SW_D5_FE_20240805,SW_D5_FE_20240805,Source_FW_FE_20240611_PM,Source_FW_FE_20240611_PM,Source_FW_FE_20240611_PM
B,Fe_2_9 uM,Fe_2_9 uM,Fe_2_9 uM,FW_H6_FE_20240805,FW_H6_FE_20240805,FW_H6_FE_20240805,SW_F6_FE_20240802,SW_F6_FE_20240802,SW_F6_FE_20240802,Source_FW_FE_20240612_AM,Source_FW_FE_20240612_AM,Source_FW_FE_20240612_AM
C,Fe_2_0.6 uM,Fe_2_0.6 uM,Fe_2_0.6 uM,FW_I5_FE_20240805,FW_I5_FE_20240805,FW_I5_FE_20240805,SW_F6_FE_20240805,SW_F6_FE_20240805,SW_F6_FE_20240805,Source_FW_FE_20240612_MID,Source_FW_FE_20240612_MID,Source_FW_FE_20240612_MID
D,0.5M_HCl,0.5M_HCl,0.5M_HCl,SW_B4_FE_20240802,SW_B4_FE_20240802,SW_B4_FE_20240802,SW_F6_FE_20240805_dup,SW_F6_FE_20240805_dup,SW_F6_FE_20240805_dup,Source_FW_FE_20240612_PM,Source_FW_FE_20240612_PM,Source_FW_FE_20240612_PM
E,Fe_3_60 uM,Fe_3_60 uM,Fe_3_60 uM,SW_B4_FE_20240805,SW_B4_FE_20240805,SW_B4_FE_20240805,SW_H3_FE_20240805,SW_H3_FE_20240805,SW_H3_FE_20240805,Source_FW_FE_20240613_AM,Source_FW_FE_20240613_AM,Source_FW_FE_20240613_AM
F,Fe_3_9 uM,Fe_3_9 uM,Fe_3_9 uM,SW_C3_FE_20240805,SW_C3_FE_20240805,SW_C3_FE_20240805,SW_H3_FE_20240805_spk,SW_H3_FE_20240805_spk,SW_H3_FE_20240805_spk,Source_FW_FE_20240613_MID,Source_FW_FE_20240613_MID,Source_FW_FE_20240613_MID
G,Fe_3_0.6 uM,Fe_3_0.6 uM,Fe_3_0.6 uM,SW_C3_FE_20240802,SW_C3_FE_20240802,SW_C3_FE_20240802,Source_FW_FE_20240611_AM,Source_FW_FE_20240611_AM,Source_FW_FE_20240611_AM,Source_FW_FE_20240613_PM,Source_FW_FE_20240613_PM,Source_FW_FE_20240613_PM
H,0.5M_HCl,0.5M_HCl,0.5M_HCl,SW_D5_FE_20240802,SW_D5_FE_20240802,SW_D5_FE_20240802,Source_FW_FE_20240611_MID,Source_FW_FE_20240611_MID,Source_FW_FE_20240611_MID,,,
